,final_cumuret,hit_rate
BKNG,2.6466740930436807,0.5806451612903226
TER,2.542641957681924,0.5806451612903226
AVGO,1.7345722916830821,0.6129032258064516
SBNY,1.5477989711740343,0.5483870967741935
NTRS,1.5308951542480793,0.5806451612903226
NFLX,1.5286559986811037,0.5483870967741935
REGN,1.4991964447293848,0.5806451612903226
KLAC,1.4132201836474434,0.6129032258064516
MTCH,1.4075444897060625,0.6451612903225806
CMCSA,1.396486943394792,0.6129032258064516
MKTX,1.3654492870532253,0.5806451612903226
TECH,1.3543517093355717,0.5483870967741935
WTW,1.3114240625368918,0.5483870967741935
UAL,1.2422360766878267,0.6129032258064516
AMGN,1.2261851469257772,0.6451612903225806
BIIB,1.2008299446774073,0.5806451612903226
