date,CCPI_INFLATION_YoY,CPI_INFLATION_YoY,obs_date
2013-08-20,1.7774137644,1.5730623987,2013-08-21
2013-08-21,1.7774137644,1.5457847862,2013-08-22
2013-08-22,1.7774137644,1.5457847862,2013-08-23
2013-08-23,1.7774137644,1.5457847862,2013-08-24
2013-08-26,1.7774137644,1.5457847862,2013-08-27
2013-08-27,1.7774137644,1.5351527256,2013-08-28
2013-08-28,1.7774137644,1.5351527256,2013-08-29
2013-08-29,1.7774137644,1.5351527256,2013-08-30
2013-08-30,1.7774137644,1.5351527256,2013-08-31
2013-09-03,1.772921214,1.396716748,2013-09-04
2013-09-04,1.772921214,1.315003874,2013-09-05
2013-09-05,1.772921214,1.315003874,2013-09-06
2013-09-06,1.772921214,1.315003874,2013-09-07
2013-09-09,1.772921214,1.315003874,2013-09-10
2013-09-10,1.772921214,1.3003205534,2013-09-11
2013-09-11,1.772921214,1.3003205534,2013-09-12
2013-09-12,1.772921214,1.3003205534,2013-09-13
2013-09-13,1.772921214,1.3003205534,2013-09-14
2013-09-16,1.772921214,1.3003205534,2013-09-17
2013-09-17,1.7589853005,1.2576487849,2013-09-18
2013-09-18,1.7589853005,1.2576487849,2013-09-19
2013-09-19,1.7589853005,1.2576487849,2013-09-20
2013-09-20,1.7589853005,1.2576487849,2013-09-21
2013-09-23,1.7589853005,1.2576487849,2013-09-24
2013-09-24,1.7589853005,1.2263190272,2013-09-25
2013-09-25,1.7589853005,1.2263190272,2013-09-26
2013-09-26,1.7589853005,1.2263190272,2013-09-27
2013-09-27,1.7589853005,1.2263190272,2013-09-28
2013-09-30,1.7589853005,1.2263190272,2013-10-01
2013-10-01,1.7305397449,1.189831966,2013-10-02
2013-10-02,1.7305397449,1.1469414695,2013-10-03
2013-10-03,1.7305397449,1.1826219256,2013-10-04
2013-10-04,1.7305397449,1.1926666827,2013-10-05
2013-10-07,1.7305397449,1.2032352461,2013-10-08
2013-10-08,1.7305397449,1.0261575848,2013-10-09
2013-10-09,1.7305397449,1.0261575848,2013-10-10
2013-10-10,1.7305397449,1.0261575848,2013-10-11
2013-10-11,1.7305397449,1.0261575848,2013-10-12
2013-10-15,1.7305397449,1.0261575848,2013-10-16
2013-10-16,1.7305397449,1.0261575848,2013-10-17
2013-10-17,1.7305397449,1.0261575848,2013-10-18
2013-10-18,1.7305397449,1.0179122093,2013-10-19
2013-10-21,1.7305397449,1.0179122093,2013-10-22
2013-10-22,1.7305397449,1.0176623495,2013-10-23
2013-10-23,1.7305397449,1.0176623495,2013-10-24
2013-10-24,1.7305397449,1.0176623495,2013-10-25
2013-10-25,1.7305397449,1.0176623495,2013-10-26
2013-10-28,1.7305397449,1.0176623495,2013-10-29
2013-10-29,1.7305397449,0.9939256626,2013-10-30
