date,ofr_usa,ofr_otherdm,ofr_em,obs_date
2000-01-03,1.7690,0.5210,-0.1500,2000-01-04
2000-01-04,2.0840,0.4740,-0.1370,2000-01-05
2000-01-05,2.0230,0.4060,-0.1320,2000-01-06
2000-01-06,2.0640,0.3550,-0.1270,2000-01-07
2000-01-07,1.7690,0.3670,-0.1310,2000-01-08
2000-01-10,1.6390,0.4510,-0.1350,2000-01-11
2000-01-11,1.6990,0.3110,-0.1200,2000-01-12
2000-01-12,1.6870,0.3460,-0.1190,2000-01-13
2000-01-13,1.7070,0.3100,-0.1260,2000-01-14
2000-01-14,1.5200,0.2560,-0.1290,2000-01-15
2000-01-18,1.6700,0.1720,-0.1420,2000-01-19
2000-01-19,1.7940,0.2040,-0.1330,2000-01-20
2000-01-20,1.5770,0.1940,-0.1300,2000-01-21
2000-01-21,1.4590,0.1720,-0.1330,2000-01-22
2000-01-24,1.6940,0.1410,-0.1300,2000-01-25
2000-01-25,1.4710,0.0950,-0.1220,2000-01-26
2000-01-26,1.4640,0.1090,-0.1170,2000-01-27
2000-01-27,1.4190,-0.0090,-0.1140,2000-01-28
2000-01-28,1.7300,-0.0300,-0.1060,2000-01-29
2000-01-31,1.6550,0.0310,-0.1000,2000-02-01
2000-02-01,1.5880,0.0840,-0.1020,2000-02-02
2000-02-02,1.6330,0.0270,-0.1000,2000-02-03
2000-02-03,1.7950,0.1130,-0.1120,2000-02-04
2000-02-04,1.5070,0.0690,-0.1400,2000-02-05
2000-02-07,1.5880,-0.0070,-0.1370,2000-02-08
2000-02-08,1.3370,0.0360,-0.1370,2000-02-09
2000-02-09,1.6020,0.0300,-0.1440,2000-02-10
2000-02-10,1.5170,-0.0340,-0.1570,2000-02-11
2000-02-11,1.5550,0.0030,-0.1500,2000-02-12
2000-02-14,1.6520,-0.0200,-0.1330,2000-02-15
2000-02-15,1.3660,-0.0230,-0.0970,2000-02-16
2000-02-16,1.5640,0.0220,-0.0960,2000-02-17
2000-02-17,1.5400,-0.0220,-0.0920,2000-02-18
2000-02-18,1.8440,-0.0330,-0.0880,2000-02-19
2000-02-22,1.8150,0.1250,-0.0720,2000-02-23
2000-02-23,1.5550,0.0800,-0.0690,2000-02-24
2000-02-24,1.6700,0.0520,-0.0680,2000-02-25
2000-02-25,1.7790,0.0170,-0.0620,2000-02-26
2000-02-28,1.6750,0.0420,-0.0600,2000-02-29
2000-02-29,1.6190,0.0300,-0.0520,2000-03-01
2000-03-01,1.5890,0.1950,-0.0520,2000-03-02
2000-03-02,1.5260,0.0690,-0.0540,2000-03-03
2000-03-03,1.2640,0.0760,-0.0560,2000-03-04
2000-03-06,1.4480,0.1200,-0.0560,2000-03-07
2000-03-07,1.7210,0.2160,-0.0280,2000-03-08
2000-03-08,1.7910,0.2050,0.0230,2000-03-09
2000-03-09,1.6350,0.3220,0.0210,2000-03-10
2000-03-10,1.5030,0.3030,0.0240,2000-03-11
2000-03-13,1.7430,0.3760,0.0340,2000-03-14
2000-03-14,1.9510,0.4020,0.0390,2000-03-15
2000-03-15,1.7920,0.3590,0.0400,2000-03-16
2000-03-16,1.5720,0.3830,0.0260,2000-03-17
2000-03-17,1.5780,0.2940,0.0300,2000-03-18
2000-03-20,1.6030,0.3290,0.0420,2000-03-21
2000-03-21,1.3450,0.2400,0.0400,2000-03-22
2000-03-22,1.3380,0.2430,0.0420,2000-03-23
2000-03-23,1.3490,0.3090,0.0370,2000-03-24
2000-03-24,1.4730,0.3810,0.0340,2000-03-25
2000-03-27,1.7080,0.3380,0.0330,2000-03-28
2000-03-28,1.7770,0.3980,0.0370,2000-03-29
2000-03-29,1.7810,0.3960,0.0470,2000-03-30
2000-03-30,2.0860,0.4730,0.0500,2000-03-31
2000-03-31,2.1750,0.7450,0.0510,2000-04-01
2000-04-03,2.1620,0.6320,0.0540,2000-04-04
2000-04-04,2.3160,0.6320,0.0600,2000-04-05
2000-04-05,2.3970,0.7020,0.0590,2000-04-06
2000-04-06,2.1310,0.5930,0.0190,2000-04-07
2000-04-07,1.9010,0.4980,-0.0260,2000-04-08
2000-04-10,2.1750,0.4990,-0.0200,2000-04-11
2000-04-11,2.2610,0.4190,-0.0110,2000-04-12
2000-04-12,2.4290,0.5650,0.0280,2000-04-13
2000-04-13,2.5080,0.5000,0.0340,2000-04-14
2000-04-14,3.3900,0.6850,0.0410,2000-04-15
2000-04-17,2.7710,0.6640,0.0560,2000-04-18
2000-04-18,2.3840,0.5710,0.0480,2000-04-19
2000-04-19,2.4900,0.4920,0.0480,2000-04-20
2000-04-20,2.3650,0.4670,0.0450,2000-04-21
2000-04-24,2.4930,0.4720,0.0450,2000-04-25
2000-04-25,2.2450,0.3650,0.0420,2000-04-26
2000-04-26,2.4860,0.3530,0.0450,2000-04-27
2000-04-27,2.4900,0.3110,0.0530,2000-04-28
2000-04-28,2.6040,0.2890,0.0410,2000-04-29
2000-05-01,2.5680,0.3480,0.0400,2000-05-02
2000-05-02,2.8350,0.3190,0.0530,2000-05-03
2000-05-03,3.1430,0.3250,0.0560,2000-05-04
2000-05-04,3.2950,0.3190,0.0480,2000-05-05
2000-05-05,3.1110,0.3720,0.0470,2000-05-06
2000-05-08,3.1310,0.3620,0.0540,2000-05-09
2000-05-09,3.0620,0.3530,0.0440,2000-05-10
2000-05-10,3.1090,0.3760,0.0230,2000-05-11
2000-05-11,3.1080,0.3540,0.0310,2000-05-12
2000-05-12,2.9450,0.4570,0.0090,2000-05-13
2000-05-15,2.9320,0.3890,0.0020,2000-05-16
2000-05-16,2.6220,0.3340,-0.0040,2000-05-17
2000-05-17,3.0460,0.3350,0.0120,2000-05-18
2000-05-18,3.2740,0.4100,0.0190,2000-05-19
2000-05-19,3.5010,0.5650,0.0200,2000-05-20
2000-05-22,3.5020,0.6080,0.0380,2000-05-23
2000-05-23,3.6160,0.7200,0.0410,2000-05-24
2000-05-24,3.4010,0.7560,0.0480,2000-05-25
2000-05-25,3.7880,0.7680,0.0410,2000-05-26
2000-05-26,3.8570,0.8600,0.0370,2000-05-27
2000-05-30,3.8240,0.8590,0.0320,2000-05-31
2000-05-31,4.0800,0.8900,0.0370,2000-06-01
2000-06-01,3.7850,0.7520,0.0270,2000-06-02
2000-06-02,3.3990,0.9310,0.0220,2000-06-03
2000-06-05,3.1800,1.0290,0.0260,2000-06-06
2000-06-06,3.1160,1.0790,0.0270,2000-06-07
2000-06-07,3.2590,1.1300,0.0250,2000-06-08
2000-06-08,3.3200,0.9580,0.0220,2000-06-09
2000-06-09,3.2350,0.9300,0.0200,2000-06-10
2000-06-12,3.3100,0.9430,0.0280,2000-06-13
2000-06-13,3.1040,0.9700,0.0290,2000-06-14
2000-06-14,3.1540,0.9240,0.0300,2000-06-15
2000-06-15,3.0020,0.9450,0.0300,2000-06-16
2000-06-16,3.0470,1.0230,0.0760,2000-06-17
2000-06-19,2.9880,0.9930,0.0700,2000-06-20
2000-06-20,3.0760,1.0390,0.0770,2000-06-21
2000-06-21,2.9700,1.0160,0.0670,2000-06-22
2000-06-22,3.1360,1.0350,0.0700,2000-06-23
2000-06-23,3.1620,1.0280,0.0650,2000-06-24
2000-06-26,3.1130,0.9910,0.0650,2000-06-27
2000-06-27,3.0340,1.0370,0.0660,2000-06-28
2000-06-28,2.9350,0.9560,0.0650,2000-06-29
2000-06-29,3.0710,1.0380,0.0680,2000-06-30
2000-06-30,3.1800,1.0660,0.0560,2000-07-01
2000-07-03,3.0240,1.0230,0.0530,2000-07-04
2000-07-05,2.9190,0.9660,0.0610,2000-07-06
2000-07-06,2.9320,0.9070,0.0650,2000-07-07
2000-07-07,2.6540,0.8490,0.0610,2000-07-08
2000-07-10,2.6570,0.8290,0.0650,2000-07-11
2000-07-11,2.5580,0.8320,0.0670,2000-07-12
2000-07-12,2.3630,0.7390,0.0510,2000-07-13
2000-07-13,2.3400,0.7130,0.0540,2000-07-14
2000-07-14,2.2820,0.7630,0.0530,2000-07-15
2000-07-17,2.3210,0.7830,0.0610,2000-07-18
2000-07-18,2.3530,0.7050,0.0170,2000-07-19
2000-07-19,2.2950,0.6600,0.0180,2000-07-20
2000-07-20,2.1830,0.6830,0.0110,2000-07-21
2000-07-21,2.2810,0.6210,0.0160,2000-07-22
2000-07-24,2.3250,0.5750,0.0130,2000-07-25
2000-07-25,2.1710,0.6240,0.0120,2000-07-26
2000-07-26,2.2300,0.6090,0.0100,2000-07-27
2000-07-27,2.3040,0.6150,0.0080,2000-07-28
2000-07-28,2.5480,0.6060,0.0110,2000-07-29
2000-07-31,2.5600,0.6800,-0.0100,2000-08-01
2000-08-01,2.4330,0.6540,-0.0040,2000-08-02
2000-08-02,2.4200,0.6780,-0.0010,2000-08-03
2000-08-03,2.4180,0.6980,-0.0100,2000-08-04
2000-08-04,2.3340,0.6920,0.0040,2000-08-05
2000-08-07,2.1960,0.6950,0.0130,2000-08-08
2000-08-08,2.0260,0.6660,0.0140,2000-08-09
2000-08-09,2.0580,0.7210,0.0200,2000-08-10
2000-08-10,1.9840,0.5810,0.0270,2000-08-11
2000-08-11,1.9040,0.6110,0.0300,2000-08-12
2000-08-14,1.7890,0.5890,0.0330,2000-08-15
2000-08-15,1.7640,0.6120,0.0360,2000-08-16
2000-08-16,1.8460,0.6230,0.0220,2000-08-17
