date,utilities,materials,industrials,con_dis,re,it,energy,comm,health,fin,con_staple,obs_date
1989-09-11,0.2748,0.2302,0.2169,0.2224,,0.2096,0.2387,0.2536,0.1908,0.2315,0.1663,1989-09-12
1989-09-12,0.2745,0.2297,0.2169,0.2218,,0.2108,0.2404,0.2539,0.1901,0.2312,0.1659,1989-09-13
1989-09-13,0.2755,0.2298,0.2168,0.2209,,0.2111,0.2407,0.2552,0.1905,0.2309,0.1655,1989-09-14
1989-09-14,0.2768,0.2299,0.2167,0.2201,,0.2118,0.2395,0.2575,0.1901,0.2304,0.166,1989-09-15
1989-09-15,0.2773,0.2293,0.2171,0.2193,,0.2117,0.2396,0.2592,0.1904,0.231,0.1652,1989-09-16
1989-09-18,0.2765,0.2284,0.2168,0.2188,,0.2103,0.2406,0.2614,0.1908,0.231,0.1652,1989-09-19
1989-09-19,0.2764,0.2281,0.2167,0.2191,,0.2091,0.2396,0.2634,0.1909,0.23,0.166,1989-09-20
1989-09-20,0.2776,0.2287,0.2164,0.2183,,0.2099,0.2394,0.2632,0.1915,0.2306,0.1658,1989-09-21
1989-09-21,0.2773,0.228,0.2163,0.2181,,0.2107,0.2397,0.2637,0.1911,0.2314,0.1653,1989-09-22
1989-09-22,0.2768,0.2274,0.2157,0.2177,,0.2104,0.2398,0.266,0.1911,0.2326,0.165,1989-09-23
1989-09-25,0.2775,0.2275,0.2158,0.2178,,0.2118,0.239,0.2642,0.1916,0.2324,0.1654,1989-09-26
1989-09-26,0.2772,0.2267,0.2155,0.2189,,0.2125,0.2371,0.2643,0.1912,0.2328,0.1658,1989-09-27
1989-09-27,0.2761,0.2265,0.2161,0.2189,,0.2067,0.2367,0.2645,0.1938,0.2336,0.1665,1989-09-28
1989-09-28,0.2746,0.2253,0.2162,0.2185,,0.2026,0.2356,0.2647,0.1959,0.235,0.1686,1989-09-29
1989-09-29,0.2741,0.2257,0.2158,0.2173,,0.2021,0.2361,0.2651,0.1957,0.237,0.1688,1989-09-30
1989-10-02,0.2733,0.2266,0.2162,0.2178,,0.2004,0.2367,0.2641,0.1949,0.2377,0.1686,1989-10-03
1989-10-03,0.2715,0.2268,0.2163,0.2181,,0.1955,0.2366,0.2644,0.1961,0.239,0.1695,1989-10-04
1989-10-04,0.2696,0.2261,0.2159,0.2177,,0.1975,0.2366,0.2653,0.1966,0.2386,0.1697,1989-10-05
1989-10-05,0.2696,0.2248,0.2163,0.2175,,0.1983,0.2367,0.2652,0.1968,0.238,0.17,1989-10-06
1989-10-06,0.2683,0.223,0.2157,0.2171,,0.1984,0.2389,0.2664,0.197,0.2374,0.1705,1989-10-07
1989-10-09,0.2685,0.2222,0.2154,0.2174,,0.2014,0.2393,0.2642,0.1971,0.2372,0.1703,1989-10-10
1989-10-10,0.2693,0.2226,0.2157,0.2174,,0.2011,0.2392,0.2624,0.1976,0.237,0.1705,1989-10-11
1989-10-11,0.2703,0.2222,0.2157,0.2172,,0.2007,0.2397,0.2615,0.1978,0.2366,0.171,1989-10-12
1989-10-12,0.2715,0.2225,0.2159,0.2165,,0.2012,0.2402,0.263,0.1968,0.2364,0.1703,1989-10-13
1989-10-13,0.2801,0.2226,0.2159,0.2163,,0.2009,0.24,0.2633,0.1961,0.236,0.1688,1989-10-14
1989-10-16,0.2769,0.2206,0.2138,0.2159,,0.2006,0.2414,0.2673,0.1975,0.2345,0.1704,1989-10-17
1989-10-17,0.2783,0.2191,0.2128,0.2149,,0.2007,0.2425,0.2673,0.1988,0.2337,0.1718,1989-10-18
1989-10-18,0.2772,0.2193,0.2122,0.2145,,0.201,0.2425,0.2674,0.199,0.2343,0.1723,1989-10-19
1989-10-19,0.2754,0.2189,0.2115,0.215,,0.2024,0.2413,0.2674,0.2,0.2348,0.1727,1989-10-20
1989-10-20,0.2763,0.2177,0.2113,0.2149,,0.2017,0.2418,0.2685,0.1994,0.2358,0.1726,1989-10-21
1989-10-23,0.2777,0.2167,0.2113,0.2154,,0.201,0.2406,0.2675,0.2004,0.2351,0.1736,1989-10-24
1989-10-24,0.2778,0.2156,0.2111,0.2159,,0.2015,0.2398,0.2662,0.201,0.2338,0.1752,1989-10-25
1989-10-25,0.2798,0.2158,0.2103,0.2146,,0.2004,0.241,0.2681,0.2016,0.2353,0.1742,1989-10-26
